speaker_native_language,num_utts,wer,cer,Model,wer_baseline,wer_rel_imp
Arabic,150,0.14567206192821958,0.07650198439852196,Zero-shot,0.14567206192821958,0.0
Chinese,150,0.12164073550212164,0.06575006806425265,Zero-shot,0.12164073550212164,0.0
Hindi,150,0.0353356890459364,0.015765153574340853,Zero-shot,0.0353356890459364,0.0
Korean,150,0.05413105413105413,0.028485346480416323,Zero-shot,0.05413105413105413,0.0
Spanish,150,0.1602519244226732,0.08271588306614576,Zero-shot,0.1602519244226732,0.0
Vietnamese,150,0.2768798313422347,0.1423778851315083,Zero-shot,0.2768798313422347,0.0
Arabic,150,0.08233638282899367,0.044341042835637064,Naive LoRA FT,0.14567206192821958,43.47826086956522
Chinese,150,0.07920792079207921,0.04043016607677648,Naive LoRA FT,0.12164073550212164,34.883720930232556
Hindi,150,0.007067137809187279,0.0028540364229410167,Naive LoRA FT,0.0353356890459364,80.0
Korean,150,0.018518518518518517,0.009175568337441797,Naive LoRA FT,0.05413105413105413,65.78947368421053
Spanish,150,0.1000699790062981,0.05253940455341506,Naive LoRA FT,0.1602519244226732,37.554585152838435
Vietnamese,150,0.17217146872803935,0.09339774557165861,Naive LoRA FT,0.2768798313422347,37.81725888324873
Arabic,150,0.1294862772695285,0.06979608594498427,CTC Aux,0.14567206192821958,11.111111111111125
Chinese,150,0.1166902404526167,0.06112169888374626,CTC Aux,0.12164073550212164,4.069767441860458
Hindi,150,0.023321554770318022,0.011280239195433542,CTC Aux,0.0353356890459364,34.0
Korean,150,0.05128205128205128,0.025335524513831826,CTC Aux,0.05413105413105413,5.263157894736844
Spanish,150,0.15185444366689993,0.0784049575643271,CTC Aux,0.1602519244226732,5.240174672489079
Vietnamese,150,0.2297962052002811,0.11876006441223833,CTC Aux,0.2768798313422347,17.005076142131976
