l1,num_utts,wer,mer,per,Model,wer_base,wer_delta_pct
Arabic,1132,0.12675216224276767,0.1251963864886096,0.05776801571316463,Whisper ZS,0.12675216224276767,0.0
Chinese,1130,0.19156362185879539,0.18857367232747618,0.10597870084079349,Whisper ZS,0.19156362185879539,0.0
English,1132,0.03815341478069297,0.03788782816229117,0.010826692761222844,Whisper ZS,0.03815341478069297,0.0
Hindi,1132,0.06532763249477976,0.06499802136921251,0.02467517671904249,Whisper ZS,0.06532763249477976,0.0
Korean,1131,0.08050552293760573,0.0800118682622886,0.03349907861175339,Whisper ZS,0.08050552293760573,0.0
Spanish,1007,0.22837641266644287,0.22276795459506657,0.1320802290514964,Whisper ZS,0.22837641266644287,0.0
Vietnamese,1132,0.31169218532511433,0.30257697133481326,0.17723053506786351,Whisper ZS,0.31169218532511433,0.0
Arabic,1132,0.04254896112933691,0.042338510238401426,0.024508472048862178,Whisper FT,0.12675216224276767,-66.43137254901961
Chinese,1130,0.09104507379337853,0.09042289789046251,0.05714849605591342,Whisper FT,0.19156362185879539,-52.472670484122865
English,1132,0.008111355898257561,0.008087060702875399,0.0035420718314697103,Whisper FT,0.03815341478069297,-78.74015748031496
Hindi,1132,0.010042756289151834,0.0100347739692002,0.005838879707123302,Whisper FT,0.06532763249477976,-84.62709284627093
Korean,1131,0.016320031843964574,0.016294088425235966,0.008692303758210305,Whisper FT,0.08050552293760573,-79.72805933250926
Spanish,1007,0.11525120286449592,0.11398849048251439,0.07760943917288883,Whisper FT,0.22837641266644287,-49.534541891229786
Vietnamese,1132,0.15997216146351162,0.1570675517376025,0.09920334457833363,Whisper FT,0.31169218532511433,-48.6762360446571
Arabic,50,0.14096916299559473,0.13793103448275862,0.06471032075386293,Bridge DTW x0 cond (σ=0.3),0.12675216224276767,11.216377299818618
Chinese,50,0.8278145695364238,0.5539143279172821,0.6012382658217401,Bridge DTW x0 cond (σ=0.3),0.19156362185879539,332.1355805992326
English,50,0.09656652360515021,0.09656652360515021,0.095795440805671,Bridge DTW x0 cond (σ=0.3),0.03815341478069297,153.10060491365616
Hindi,50,0.08149779735682819,0.08026030368763558,0.040446430116915746,Bridge DTW x0 cond (σ=0.3),0.06532763249477976,24.752412179242175
Korean,50,0.09534368070953436,0.09429824561403509,0.04525718105031976,Bridge DTW x0 cond (σ=0.3),0.08050552293760573,18.431229598283174
Spanish,50,0.3626609442060086,0.34210526315789475,0.24010982339882503,Bridge DTW x0 cond (σ=0.3),0.22837641266644287,58.79965009157759
Vietnamese,50,0.43171806167400884,0.4152542372881356,0.2948037287338899,Bridge DTW x0 cond (σ=0.3),0.31169218532511433,38.50782342319556
Arabic,50,0.23127753303964757,0.22340425531914893,0.1679209687912373,Bridge DTW x0 cond (σ=1.0),0.12675216224276767,82.46436900751489
Chinese,50,0.445916114790287,0.4353448275862069,0.3364182229754483,Bridge DTW x0 cond (σ=1.0),0.19156362185879539,132.77703274945327
English,50,0.02575107296137339,0.0255863539445629,0.00957669866365518,Bridge DTW x0 cond (σ=1.0),0.03815341478069297,-32.50650535635835
Hindi,50,0.10572687224669604,0.10412147505422993,0.06759582351132191,Bridge DTW x0 cond (σ=1.0),0.06532763249477976,61.84096715144932
Korean,50,0.1130820399113082,0.1118421052631579,0.06991567057012862,Bridge DTW x0 cond (σ=1.0),0.08050552293760573,40.464946732847494
Spanish,50,2.7618025751072963,0.8099433606041535,2.0385943067771124,Bridge DTW x0 cond (σ=1.0),0.22837641266644287,1109.3204122358604
Vietnamese,50,2.845814977973568,0.8539325842696629,3.175835492074114,Bridge DTW x0 cond (σ=1.0),0.31169218532511433,813.0209584835136
